"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-10-19",211846,456,22475,7503,1684,37744,436817,109195067,1022227,2577,1800,0,8171703,57148,3272603,56,126033173,1200056
"2020-10-18",211390,393,22391,7276,853,36415,435133,108172840,766789,2557,1762,0,8114555,48922,3234183,56,124833117,978769
"2020-10-17",210997,780,22320,7390,1535,37392,434280,107406051,948170,2553,1791,0,8065633,57943,3220607,56,123854348,1188950
"2020-10-16",210217,877,22202,7251,1858,37336,432745,106457881,978288,2547,1739,0,8007690,68124,3197539,56,122665398,1141550
"2020-10-15",209340,951,22051,7220,2007,37308,430887,105479593,850804,2531,1769,0,7939566,63172,3177397,56,121523848,1021863
"2020-10-14",208389,811,21889,7156,2537,37048,428880,104628789,624821,2516,1776,0,7876394,56797,3155826,56,120501985,981061
"2020-10-13",207578,690,21735,7020,2048,36051,426343,104003968,854225,2485,1755,0,7819597,48387,3124593,56,119520924,986044
"2020-10-12",206888,287,21625,6807,1189,35072,424295,103149743,889434,2464,1666,0,7771210,43124,3106769,56,118534880,1016963
"2020-10-11",206601,466,21553,6679,1015,34490,423106,102260309,803858,2454,1646,0,7728086,46946,3075110,56,117517917,972008
"2020-10-10",206135,665,21512,6683,1504,34618,422091,101456451,959373,2451,1667,0,7681140,57492,3063007,56,116545909,1185902
"2020-10-09",205470,893,21389,6713,1802,34839,420587,100497078,950718,2437,1655,0,7623648,57060,3039089,56,115360007,1126887
"2020-10-08",204577,986,21217,6621,2074,34322,418785,99546360,880813,2427,1638,0,7566588,55352,3021252,56,114233120,1076091
"2020-10-07",203591,916,21112,6507,2250,32105,416711,98665547,732692,2410,1646,0,7511236,50602,2999895,56,113157029,900890
"2020-10-06",202675,634,20973,6438,-624,31346,414461,97932855,722475,2388,1609,0,7460634,38661,2952390,56,112256139,859821
"2020-10-05",202041,326,20812,6209,1519,30098,415085,97210380,846256,2370,1515,0,7421973,38133,2935196,56,111396318,947309
"2020-10-04",201715,363,20729,5974,649,29944,413566,96364124,824848,2362,1485,0,7383840,38439,2911789,56,110449009,973819
"2020-10-03",201352,741,20686,5996,1166,30106,412917,95539276,846390,2358,1501,0,7345401,51372,2897350,56,109475190,1033797
"2020-10-02",200611,835,20612,6106,1342,30697,411751,94692886,977186,2348,1533,0,7294029,49534,2873369,56,108441393,1163846
"2020-10-01",199776,851,20492,6173,1760,30742,410409,93715700,759865,2334,1547,0,7244495,45694,2860650,56,107277547,932192
"2020-09-30",198925,1061,20390,6145,1590,30877,408649,92955835,674267,2319,1507,0,7198801,44424,2840747,56,106345355,846795
"2020-09-29",197864,739,20247,6106,1733,30391,407059,92281568,707529,2298,1495,0,7154377,36947,2813305,56,105498560,858199
"2020-09-28",197125,257,20121,5981,1241,29608,405326,91574039,919021,2285,1518,0,7117430,36524,2794608,56,104640361,1128313
"2020-09-27",196868,307,20050,6080,760,29434,404085,90655018,669524,2277,1511,0,7080906,35454,2766304,56,103512048,849716
"2020-09-26",196561,869,20002,6057,1154,29554,403325,89985494,889151,2272,1509,0,7045452,47856,2750459,56,102662332,1056638
"2020-09-25",195692,844,19919,6133,1331,29769,402171,89096343,877895,2264,1506,0,6997596,55526,2727335,56,101605694,1054257
"2020-09-24",194848,921,19555,6168,1588,30043,400840,88218448,802073,2177,1560,0,6942070,43772,2710183,56,100551437,974780
"2020-09-23",193927,1159,19452,6113,1451,29905,399252,87416375,800878,2154,1544,0,6898298,38567,2672338,56,99576657,962736
"2020-09-22",192768,854,19324,6111,1446,29459,397801,86615497,672641,2130,1562,0,6859731,49439,2646959,56,98613921,812522
"2020-09-21",191914,287,19353,6071,1140,28755,396355,85942856,639272,2116,1572,0,6810292,39472,2615974,56,97801399,736099
"2020-09-20",191627,327,19281,6015,516,28608,395215,85303584,790601,2112,1595,0,6770820,36295,2589239,56,97065300,932891
"2020-09-19",191300,740,19243,6070,1067,29035,394699,84512983,946890,2111,1577,0,6734525,45564,2577467,56,96132409,1100834
"2020-09-18",190560,901,19163,6175,1459,29501,393632,83566093,856141,2107,1608,0,6688961,47486,2557862,56,95031575,1019046
"2020-09-17",189659,863,19057,6278,1549,29900,392173,82709952,733211,2092,1658,0,6641475,43558,2540334,56,94012529,885801
"2020-09-16",188796,1200,18961,6308,1517,30278,390624,81976741,625601,2090,1651,0,6597917,40021,2525573,56,93126728,770519
"2020-09-15",187596,1031,18847,6310,1491,30328,389107,81351140,649588,2071,1572,0,6557896,35445,2495127,56,92356209,760441
"2020-09-14",186565,404,18748,6238,937,29895,387616,80701552,371748,2061,1507,0,6522451,33864,2477942,56,91595768,457583
"2020-09-13",186161,390,18692,6233,592,29810,386679,80329804,612437,2056,1562,0,6488587,34453,2450184,56,91138185,720625
"2020-09-12",185771,810,18648,6451,1076,30655,386087,79717367,806722,2051,1619,0,6454134,42090,2438903,56,90417560,930296
